bin	CAPES_S11	CAPES_S21	CAPES_S7
MEGAHIT-CAPES_S21.15.fa	0.0	6.81083	0.0
MEGAHIT-CAPES_S21.16.fa	0.0	14.8245	0.0
MEGAHIT-CAPES_S21.17.fa	0.0687285	20.75	0.120627
MEGAHIT-CAPES_S21.18.fa	9.12779	8.48377	0.0
MEGAHIT-CAPES_S21.19.fa	0.0	89.9156	0.0
MEGAHIT-CAPES_S21.2.fa	33.5927	198.653	0.435278
MEGAHIT-CAPES_S21.20.fa	3.02365	31.1981	6.31145
MEGAHIT-CAPES_S21.21.fa	0.0	16.1578	0.0
MEGAHIT-CAPES_S21.22.fa	0.14291949999999998	10.28655	0.0
MEGAHIT-CAPES_S21.23.fa	29.4404	54.2857	0.222927
MEGAHIT-CAPES_S21.24.fa	0.0	6.05353	0.0
MEGAHIT-CAPES_S21.25.fa	12.7769	228.167	51.4603
MEGAHIT-CAPES_S21.26.fa	0.0	12.7758	0.0
MEGAHIT-CAPES_S21.27.fa	3.9646199999999996	124.25	110.811
MEGAHIT-CAPES_S21.28.fa	21.53135	50.2273	0.181439
MEGAHIT-CAPES_S21.29.fa	2.835	101.051	74.2668
MEGAHIT-CAPES_S21.3.fa	92.13715	347.0180000000001	0.396458
MEGAHIT-CAPES_S21.30.fa	12.4062	53.4362	0.16214800000000001
MEGAHIT-CAPES_S21.31.fa	25.8177	95.0106	47.1207
MEGAHIT-CAPES_S21.32.fa	0.0	6.506819999999999	174.82
MEGAHIT-CAPES_S21.33.fa	7.244910000000001	64.532	0.04328819999999999
MEGAHIT-CAPES_S21.34.fa	28.6282	88.4162	57.0666
MEGAHIT-CAPES_S21.35.fa	0.0	16.53145	0.0
MEGAHIT-CAPES_S21.36.fa	3.94656	131.64	74.42330000000003
MEGAHIT-CAPES_S21.37.fa	19.4758	19.8552	0.032111400000000005
MEGAHIT-CAPES_S21.38.fa	0.1623985	41.67145	0.007289125
MEGAHIT-CAPES_S21.4.fa	29.8891	88.1138	61.0064
MEGAHIT-CAPES_S21.5.fa	16.3372	53.2553	0.147529
MEGAHIT-CAPES_S21.6.fa	15.7469	80.93315000000003	27.72435
MEGAHIT-CAPES_S21.7.fa	0.029213599999999996	22.1623	1.68911
MEGAHIT-CAPES_S21.8.fa	11.2882	9.2982	0.0
MEGAHIT-CAPES_S21.9.fa	24.4959	19.3411	0.03881230000000001
SPAdes-CAPES_S21.1.fa	12.8704	8.966339999999999	0.0
SPAdes-CAPES_S21.10.fa	29.4842	90.5064	58.5357
SPAdes-CAPES_S21.11.fa	0.02290115	22.10785	1.69177
SPAdes-CAPES_S21.12.fa	4.28229	131.053	121.271
SPAdes-CAPES_S21.13.fa	0.0	6.923210000000001	0.0
SPAdes-CAPES_S21.14.fa	0.0589914	20.5487	0.12091199999999999
SPAdes-CAPES_S21.15.fa	32.26975	89.7136	66.80265
SPAdes-CAPES_S21.16.fa	0.0	96.37335	0.0
SPAdes-CAPES_S21.17.fa	0.660245	24.1624	0.07958319999999999
SPAdes-CAPES_S21.18.fa	0.16127149999999998	40.9878	0.00876117
SPAdes-CAPES_S21.19.fa	24.07255	19.287750000000006	0.037153399999999996
SPAdes-CAPES_S21.2.fa	0.0	15.583	0.0
SPAdes-CAPES_S21.20.fa	3.001125	30.5944	6.294230000000001
SPAdes-CAPES_S21.21.fa	30.26725	53.06650000000001	0.2021315
SPAdes-CAPES_S21.22.fa	19.0938	86.0742	37.2554
SPAdes-CAPES_S21.23.fa	0.0	10.8125	0.0
SPAdes-CAPES_S21.24.fa	11.14545	9.707295	0.0
SPAdes-CAPES_S21.25.fa	12.2848	223.378	48.54105
SPAdes-CAPES_S21.26.fa	0.0	6.559535	164.8845
SPAdes-CAPES_S21.27.fa	5.367595	48.41485	0.04755295
SPAdes-CAPES_S21.28.fa	2.66533	114.70299999999999	74.8814
SPAdes-CAPES_S21.29.fa	0.0	5.939794999999999	0.0
SPAdes-CAPES_S21.3.fa	13.7365	50.24975	0.12418135
SPAdes-CAPES_S21.30.fa	0.0607687	33.5488	0.0
SPAdes-CAPES_S21.31.fa	7.129995	161.1395	0.10622100000000001
SPAdes-CAPES_S21.32.fa	0.0	6.72319	0.0
SPAdes-CAPES_S21.4.fa	3.71581	124.5175	98.76605
SPAdes-CAPES_S21.5.fa	21.3864	51.2383	0.180107
SPAdes-CAPES_S21.6.fa	0.0	16.0319	0.0
SPAdes-CAPES_S21.7.fa	6.96404	61.9524	0.062606
SPAdes-CAPES_S21.8.fa	2.026705	110.501	47.6957
SPAdes-CAPES_S21.9.fa	9.71214	9.192425	0.0
SPAdesHybrid-CAPES_S7.1.fa	41.3891	3.60721	94.9895
SPAdesHybrid-CAPES_S7.10.fa	3.99079	109.73200000000001	119.779
SPAdesHybrid-CAPES_S7.11.fa	0.426196	5.07144	171.888
SPAdesHybrid-CAPES_S7.12.fa	3.1260000000000003	27.318	6.92052
SPAdesHybrid-CAPES_S7.13.fa	14.9744	0.351026	34.2759
SPAdesHybrid-CAPES_S7.14.fa	24.3431	63.0922	69.9974
SPAdesHybrid-CAPES_S7.15.fa	3.93658	106.061	119.79299999999999
SPAdesHybrid-CAPES_S7.16.fa	14.7584	4.34265	35.0574
SPAdesHybrid-CAPES_S7.17.fa	11.6063	0.6243015000000001	33.0504
SPAdesHybrid-CAPES_S7.18.fa	8.85966	118.546	51.0022
SPAdesHybrid-CAPES_S7.19.fa	44.6046	3.69524	96.8293
SPAdesHybrid-CAPES_S7.2.fa	16.0491	0.2776215	33.402100000000004
SPAdesHybrid-CAPES_S7.20.fa	29.6634	69.725	70.0654
SPAdesHybrid-CAPES_S7.21.fa	12.7309	173.49200000000002	62.9997
SPAdesHybrid-CAPES_S7.22.fa	30.8393	2.53071	80.0692
SPAdesHybrid-CAPES_S7.23.fa	26.8165	61.7835	72.1568
SPAdesHybrid-CAPES_S7.24.fa	4.333255	113.167	120.4285
SPAdesHybrid-CAPES_S7.25.fa	13.42055	0.4745585	32.5706
SPAdesHybrid-CAPES_S7.26.fa	33.717299999999994	3.03887	82.1438
SPAdesHybrid-CAPES_S7.27.fa	1.30166	0.0	26.3578
SPAdesHybrid-CAPES_S7.28.fa	10.4826	42.4007	54.54415
SPAdesHybrid-CAPES_S7.29.fa	0.0	0.0	9.93033
SPAdesHybrid-CAPES_S7.3.fa	0.8060039999999999	0.0	35.0225
SPAdesHybrid-CAPES_S7.30.fa	0.0	0.0	1.4812100000000001
SPAdesHybrid-CAPES_S7.31.fa	22.5761	54.0454	77.4507
SPAdesHybrid-CAPES_S7.32.fa	39.5287	3.21769	88.2172
SPAdesHybrid-CAPES_S7.33.fa	47.4112	4.475145	113.2255
SPAdesHybrid-CAPES_S7.34.fa	3.44696	100.0886	117.421
SPAdesHybrid-CAPES_S7.35.fa	1.061	0.0	40.3502
SPAdesHybrid-CAPES_S7.36.fa	15.8089	0.42321800000000004	36.0028
SPAdesHybrid-CAPES_S7.37.fa	40.71165	3.76306	96.49115
SPAdesHybrid-CAPES_S7.38.fa	32.2563	84.74780000000001	75.86725
SPAdesHybrid-CAPES_S7.39.fa	24.57175	2.7654900000000002	83.40074999999999
