task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
523	5d/3dd7b6	87d930c4-f128-42f5-86c4-b87247ab6a93	NFCORE_MAG:MAG:BUSCO_QC:BUSCO (SPAdesHybrid-CAPES_S11.55.fa)	COMPLETED	0	2021-07-30 00:06:04.389	1h 41m 36s	1m 21s	442.7%	3 GB	50.3 GB	1.8 GB	1.7 GB
513	2d/438930	37d323db-3229-4525-bc10-a680e6b68c88	NFCORE_MAG:MAG:BUSCO_QC:BUSCO (SPAdesHybrid-CAPES_S11.46.fa)	COMPLETED	0	2021-07-30 00:06:04.062	1h 41m 39s	3m 31s	554.6%	3.7 GB	25.5 GB	3.4 GB	2.7 GB
517	58/9218a0	9e0a552b-92f5-419a-9640-b6c4177ee9e5	NFCORE_MAG:MAG:BUSCO_QC:BUSCO (SPAdesHybrid-CAPES_S11.5.fa)	COMPLETED	0	2021-07-30 00:06:04.191	1h 41m 59s	2m 1s	495.9%	3.2 GB	24.4 GB	2.7 GB	2.4 GB
522	54/07e631	a5796f2d-156e-4e48-872f-a26ef10c6f64	NFCORE_MAG:MAG:BUSCO_QC:BUSCO (SPAdesHybrid-CAPES_S11.54.fa)	COMPLETED	0	2021-07-30 00:06:04.363	1h 42m 28s	2m 28s	521.2%	3.6 GB	25.5 GB	2.8 GB	2.5 GB
525	33/6f6bde	a8349f5d-3fa9-48e6-a58d-55e06642d43f	NFCORE_MAG:MAG:BUSCO_QC:BUSCO (SPAdesHybrid-CAPES_S11.57.fa)	COMPLETED	0	2021-07-30 00:06:04.416	1h 42m 29s	1m 56s	523.8%	3.6 GB	25.5 GB	1.9 GB	1.9 GB
524	d2/caf8d6	24513ca6-e09c-4828-ae3d-b6e71e079885	NFCORE_MAG:MAG:BUSCO_QC:BUSCO (SPAdesHybrid-CAPES_S11.56.fa)	COMPLETED	0	2021-07-30 00:06:04.405	1h 42m 38s	2m 12s	492.8%	3.5 GB	52.4 GB	2.3 GB	2.4 GB
526	96/7c6466	cfd76477-f1fe-4690-8747-59a52573b19a	NFCORE_MAG:MAG:BUSCO_QC:BUSCO (SPAdesHybrid-CAPES_S11.58.fa)	COMPLETED	0	2021-07-30 00:06:04.483	1h 42m 39s	2m 11s	472.1%	3.5 GB	25.4 GB	2.4 GB	2.4 GB
530	a0/316ea5	8758b133-f0a2-464e-ab6c-36d72fff917c	NFCORE_MAG:MAG:BUSCO_QC:BUSCO (SPAdesHybrid-CAPES_S11.61.fa)	COMPLETED	0	2021-07-30 00:06:04.559	1h 42m 58s	2m 21s	506.3%	4.1 GB	52.4 GB	3 GB	2.5 GB
529	37/0967f7	79a86d9e-694a-4c31-8882-ef5f25cb4979	NFCORE_MAG:MAG:BUSCO_QC:BUSCO (SPAdesHybrid-CAPES_S11.60.fa)	COMPLETED	0	2021-07-30 00:06:04.530	1h 43m 8s	2m 32s	476.3%	4 GB	43.5 GB	3.1 GB	2.6 GB
535	17/4a7416	bb1c1680-d5b0-4323-9ab1-301c5c34de85	NFCORE_MAG:MAG:BUSCO_QC:BUSCO (SPAdesHybrid-CAPES_S11.9.fa)	COMPLETED	0	2021-07-30 00:06:04.738	1h 43m 9s	2m 7s	510.4%	3.6 GB	16.4 GB	1.9 GB	1.8 GB
